,NP-chunks
The_Thing_0,"[('escape', 'NN')]"
The_Thing_0,"[('the', 'DT'), ('ice', 'NN')]"
The_Thing_0,"[('the', 'DT'), ('Norwegians', 'NNP')]"
The_Thing_0,"[('natural', 'JJ'), ('prison', 'NN')]"
The_Thing_0,"[('The', 'DT'), ('Thing', 'NNP')]"
The_Thing_0,"[('the', 'DT'), ('movie', 'NN')]"
The_Thing_0,"[('Ridley', 'NNP'), ('Scott', 'NNP')]"
The_Thing_0,"[('Alien', 'NNP')]"
The_Thing_0,"[('a', 'DT'), ('desolate', 'JJ'), ('area', 'NN')]"
The_Thing_0,"[('a', 'DT'), ('seldom', 'NN')]"
The_Thing_0,"[('seen', 'NN')]"
The_Thing_0,"[('The', 'DT'), ('Thing', 'NNP')]"
The_Thing_0,"[('the', 'DT'), ('famous', 'JJ'), ('short', 'JJ'), ('story', 'NN')]"
The_Thing_0,"[('Goes', 'NNP')]"
The_Thing_0,"[('John', 'NNP'), ('W.', 'NNP'), ('Campbell', 'NNP')]"
The_Thing_0,"[('Jr.', 'NNP')]"
The_Thing_0,"[('writing', 'NN')]"
The_Thing_0,"[('pseudonym', 'NN')]"
The_Thing_0,"[('Don', 'NNP'), ('A.', 'NNP'), ('Stuart', 'NNP')]"
The_Thing_0,"[('the', 'DT'), ('film', 'NN')]"
The_Thing_0,"[('a', 'DT'), ('feature', 'NN')]"
The_Thing_0,"[('production', 'NN')]"
The_Thing_0,"[('Howard', 'NNP'), ('Hawks', 'NNP')]"
The_Thing_0,"[('Christian', 'NNP'), ('Nyby', 'NNP')]"
The_Thing_0,"[('The', 'DT'), ('result', 'NN')]"
The_Thing_0,"[('The', 'DT'), ('Thing', 'NNP'), ('From', 'NNP'), ('Another', 'NNP'), ('World', 'NNP')]"
The_Thing_0,"[('an', 'DT'), ('unarguable', 'JJ'), ('classic', 'NN')]"
The_Thing_0,"[('little', 'JJ'), ('resemblance', 'NN')]"
The_Thing_0,"[('the', 'DT'), ('short', 'JJ'), ('story', 'NN')]"
The_Thing_0,"[('Carpenter', 'NNP')]"
The_Thing_0,"[('remake', 'NN')]"
The_Thing_0,"[('The', 'DT'), ('idea', 'NN')]"
The_Thing_0,"[('the', 'DT'), ('Thing', 'NNP')]"
The_Thing_0,"[('the', 'DT'), ('physicality', 'NN')]"
The_Thing_0,"[('anyone', 'NN')]"
The_Thing_0,"[('this', 'DT'), ('movie', 'NN')]"
The_Thing_0,"[('vital', 'JJ'), ('link', 'NN')]"
The_Thing_0,"[('the', 'DT'), ('short', 'JJ'), ('story', 'NN')]"
The_Thing_0,"[('the', 'DT'), ('shape-shifting', 'JJ'), ('organism', 'NN')]"
The_Thing_0,"[('SFX', 'NNP')]"
The_Thing_0,"[('Creature', 'NN')]"
The_Thing_0,"[('Rob', 'NNP'), ('Bottin', 'NNP')]"
The_Thing_0,"[('an', 'DT'), ('excellent', 'JJ'), ('job', 'NN')]"
The_Thing_0,"[('a', 'DT'), ('cheesy', 'NN')]"
The_Thing_0,"[('gore-fest', 'NN')]"
The_Thing_0,"[('a', 'DT'), ('startlingly', 'JJ'), ('frightening', 'NN')]"
The_Thing_0,"[('realistic', 'JJ'), ('mess', 'NN')]"
The_Thing_0,"[('blood', 'NN')]"
The_Thing_0,"[('fear', 'NN')]"
The_Thing_0,"[('The', 'DT'), ('Thing', 'NNP')]"
The_Thing_0,"[('specific', 'JJ'), ('form', 'NN')]"
The_Thing_0,"[('a', 'DT'), ('morphing', 'NN')]"
The_Thing_0,"[('stage', 'NN')]"
The_Thing_0,"[('superb', 'NN')]"
The_Thing_0,"[('a', 'DT'), ('punch', 'NN')]"
The_Thing_0,"[('Ennio', 'NNP'), ('Morricone', 'NNP')]"
The_Thing_0,"[('score', 'NN')]"
The_Thing_0,"[('a', 'DT'), ('Razzie', 'NNP'), ('Award', 'NNP')]"
The_Thing_0,"[('the', 'DT'), ('time', 'NN')]"
The_Thing_0,"[('a', 'DT'), ('bit', 'NN')]"
The_Thing_0,"[('used', 'JJ'), ('correctly', 'NN')]"
The_Thing_0,"[('the', 'DT'), ('fact', 'NN')]"
The_Thing_0,"[('the', 'DT'), ('fact', 'NN')]"
The_Thing_0,"[('ending', 'NN')]"
The_Thing_0,"[('all', 'DT'), ('time', 'NN')]"
The_Thing_0,"[('The', 'DT'), ('Thing', 'NNP')]"
The_Thing_0,"[('Hollywood', 'NNP')]"
The_Thing_0,"[('no', 'DT'), ('surprise', 'NN')]"
The_Thing_0,"[('the', 'DT'), ('time', 'NN')]"
The_Thing_0,"[('release', 'NN')]"
The_Thing_0,"[('The', 'DT'), ('Thing', 'NNP')]"
The_Thing_0,"[('E.T', 'NNP')]"
The_Thing_0,"[('the', 'DT'), ('same', 'JJ'), ('year', 'NN')]"
The_Thing_0,"[('a', 'DT'), ('much', 'JJ'), ('kinder', 'NN')]"
The_Thing_0,"[('alien', 'NN')]"
The_Thing_0,"[('the', 'DT'), ('higher-grossing', 'JJ'), ('picture', 'NN')]"
The_Thing_0,"[('the', 'DT'), ('long', 'JJ'), ('run', 'NN')]"
The_Thing_0,"[('The', 'DT'), ('Thing', 'NNP')]"
The_Thing_0,"[('every', 'DT'), ('conceivable', 'JJ'), ('way', 'NN')]"
The_Thing_0,"[('Spielberg', 'NNP')]"
The_Thing_0,"[('tale', 'NN')]"
The_Thing_0,"[('Anniversary', 'NNP'), ('Re-Release', 'NNP')]"
The_Thing_0,"[('The', 'DT'), ('Thing', 'NNP')]"
The_Thing_0,"[('the', 'DT'), ('other', 'JJ'), ('hand', 'NN')]"
The_Thing_0,"[('a', 'DT'), ('ladder', 'NN')]"
The_Thing_0,"[('cult', 'NN')]"
The_Thing_0,"[('Carpenter', 'NNP')]"
The_Thing_0,"[('uneven', 'JJ'), ('career', 'NN')]"
The_Thing_0,"[('amazing', 'NN')]"
The_Thing_0,"[('Assault', 'NNP')]"
The_Thing_0,"[('Precinct', 'NNP')]"
The_Thing_0,"[('the', 'DT'), ('magnificent', 'NN')]"
The_Thing_0,"[('Halloween', 'NNP')]"
The_Thing_0,"[('the', 'DT'), ('disappointing', 'NN')]"
The_Thing_0,"[('Escape', 'NNP')]"
The_Thing_0,"[('L.A.', 'NNP')]"
The_Thing_0,"[('The', 'DT'), ('Thing', 'NNP')]"
The_Thing_0,"[('motion', 'NN')]"
The_Thing_0,"[('picture', 'NN')]"
The_Thing_0,"[('reputation', 'NN')]"
The_Thing_0,"[('a', 'DT'), ('spot', 'NN')]"
The_Thing_0,"[('The', 'DT'), ('Thing', 'NNP')]"
The_Thing_0,"[('favorite', 'NN')]"
The_Thing_0,"[('horror', 'NN')]"
The_Thing_0,"[('close', 'JJ'), ('inspection', 'NN')]"
The_Thing_0,"[('a', 'DT'), ('daring', 'NN')]"
The_Thing_0,"[('ingenious', 'JJ'), ('thrill-ride', 'NN')]"
The_Thing_0,"[('a', 'DT'), ('genuine', 'NN')]"
The_Thing_0,"[('relief', 'NN')]"
The_Thing_0,"[('film', 'NN')]"
The_Thing_0,"[('the', 'DT'), ('same', 'JJ'), ('old', 'JJ'), ('horror', 'NN')]"
The_Thing_0,"[('knock-offs', 'NN')]"
The_Thing_0,"[('This', 'DT'), ('one', 'NN')]"
The_Thing_1,"[('A', 'DT'), ('classic', 'JJ'), ('film', 'NN')]"
The_Thing_1,"[('John', 'NNP'), ('Carpenter', 'NNP')]"
The_Thing_1,"[('The', 'DT'), ('Thing', 'NNP')]"
The_Thing_1,"[('entertaining', 'JJ'), ('horror', 'NN')]"
The_Thing_1,"[('clever', 'NN')]"
The_Thing_1,"[('personal', 'JJ'), ('favorite', 'NN')]"
The_Thing_1,"[('horror', 'NN')]"
The_Thing_1,"[('the', 'DT'), ('genre', 'NN')]"
The_Thing_1,"[('Set', 'NNP')]"
The_Thing_1,"[('an', 'DT'), ('isolated', 'JJ'), ('base', 'NN')]"
The_Thing_1,"[('Antarctica', 'NNP')]"
The_Thing_1,"[('this', 'DT'), ('version', 'NN')]"
The_Thing_1,"[('the', 'DT'), ('original', 'JJ'), ('version', 'NN')]"
The_Thing_1,"[('The', 'DT'), ('Thing', 'NNP'), ('From', 'NNP'), ('Another', 'NNP'), ('World', 'NNP')]"
The_Thing_1,"[('a', 'DT'), ('decimated', 'JJ'), ('Norwegian', 'NN')]"
The_Thing_1,"[('base', 'NN')]"
The_Thing_1,"[('Everyone', 'NN')]"
The_Thing_1,"[('the', 'DT'), ('half', 'NN')]"
The_Thing_1,"[('some', 'DT'), ('unidentifiable', 'JJ'), ('thing', 'NN')]"
The_Thing_1,"[('the', 'DT'), ('compound', 'NN')]"
The_Thing_1,"[('The', 'DT'), ('Thing', 'NNP')]"
The_Thing_1,"[('the', 'DT'), ('American', 'JJ'), ('base', 'NN')]"
The_Thing_1,"[('lethal', 'NN')]"
The_Thing_1,"[('The', 'DT'), ('Thing', 'NNP')]"
The_Thing_1,"[('anyone', 'NN')]"
The_Thing_1,"[('anything', 'NN')]"
The_Thing_1,"[('Its', 'NNP')]"
The_Thing_1,"[('path', 'NN')]"
The_Thing_1,"[('Itself', 'NNP')]"
The_Thing_1,"[('The', 'DT'), ('film', 'NN')]"
The_Thing_1,"[('a', 'DT'), ('brilliant', 'JJ'), ('paranoia', 'NN')]"
The_Thing_1,"[('piece', 'NN')]"
The_Thing_1,"[('Everyone', 'NN')]"
The_Thing_1,"[('anyone', 'NN')]"
The_Thing_1,"[('The', 'DT'), ('Thing', 'NNP')]"
The_Thing_1,"[('no', 'DT'), ('one', 'NN')]"
The_Thing_1,"[('anyone', 'NN')]"
The_Thing_1,"[('Gone', 'NN')]"
The_Thing_1,"[('the', 'DT'), ('strength', 'NN')]"
The_Thing_1,"[('security', 'NN')]"
The_Thing_1,"[('band', 'NN')]"
The_Thing_1,"[('spite', 'NN')]"
The_Thing_1,"[('a', 'DT'), ('monster', 'NN')]"
The_Thing_1,"[('The', 'DT'), ('group', 'NN')]"
The_Thing_1,"[('supreme', 'NN')]"
The_Thing_1,"[('the', 'DT'), ('Thing', 'NNP')]"
The_Thing_1,"[('this', 'DT'), ('movie', 'NN')]"
The_Thing_1,"[('Death', 'NNP')]"
The_Thing_1,"[('Escape', 'NNP'), ('From', 'NNP'), ('New', 'NNP'), ('York', 'NNP')]"
The_Thing_1,"[('Escape', 'NNP'), ('From', 'NNP'), ('L.A.', 'NNP')]"
The_Thing_1,"[('The', 'DT'), ('Thing', 'NNP')]"
The_Thing_1,"[('Carpenter', 'NNP')]"
The_Thing_1,"[('a', 'DT'), ('truly', 'NN')]"
The_Thing_1,"[('masterpiece', 'NN')]"
The_Thing_1,"[('classic', 'NN')]"
The_Thing_1,"[('R.J.', 'NNP'), ('MacReady', 'NNP'), ('Kurt', 'NNP'), ('Russell', 'NNP')]"
The_Thing_1,"[('this', 'DT'), ('film', 'NN')]"
The_Thing_1,"[('Science', 'NN')]"
The_Thing_1,"[('Fiction', 'NNP')]"
The_Thing_1,"[('Horror', 'NNP')]"
The_Thing_1,"[('an', 'DT'), ('Action', 'NNP'), ('Epic', 'NNP'), ('Film', 'NNP')]"
The_Thing_1,"[('A', 'DT'), ('lot', 'NN')]"
The_Thing_1,"[('nice', 'NN')]"
The_Thing_1,"[('the', 'DT'), ('acting', 'NN')]"
The_Thing_1,"[('the', 'DT'), ('inside', 'NN')]"
The_Thing_1,"[('the', 'DT'), ('ship', 'NN')]"
The_Thing_1,"[('the', 'DT'), ('visual', 'JJ'), ('design', 'NN')]"
The_Thing_1,"[('opinion', 'NN')]"
The_Thing_1,"[('nobody', 'NN')]"
The_Thing_1,"[('this', 'DT'), ('film', 'NN')]"
The_Thing_1,"[('release', 'NN')]"
The_Thing_1,"[('The', 'DT'), ('Thing', 'NNP')]"
The_Thing_1,"[('any', 'DT'), ('CGI-driven', 'JJ'), ('movie', 'NN')]"
The_Thing_1,"[('this', 'DT'), ('cast', 'NN')]"
The_Thing_1,"[('the', 'DT'), ('film', 'NN')]"
The_Thing_1,"[('The', 'DT'), ('Thing', 'NNP')]"
The_Thing_1,"[('again', 'NN')]"
The_Thing_1,"[('the', 'DT'), ('first', 'JJ'), ('time', 'NN')]"
The_Thing_1,"[('WOW', 'NNP')]"
The_Thing_1,"[('Does', 'NNP')]"
The_Thing_1,"[('need', 'NN')]"
The_Thing_1,"[('no', 'DT'), ('parallel', 'NN')]"
The_Thing_1,"[('friend', 'NN')]"
The_Thing_1,"[('the', 'DT'), ('Thing', 'NNP')]"
The_Thing_1,"[('this', 'DT'), ('movie', 'NN')]"
The_Thing_1,"[('a', 'DT'), ('treat', 'NN')]"
The_Thing_1,"[('other', 'JJ'), ('movie', 'NN')]"
The_Thing_1,"[('an', 'DT'), ('impact', 'NN')]"
The_Thing_1,"[('The', 'DT'), ('Matrix', 'NNP')]"
The_Thing_1,"[('the', 'DT'), ('first', 'JJ'), ('movie', 'NN')]"
The_Thing_1,"[('the', 'DT'), ('theater', 'NN')]"
The_Thing_1,"[('This', 'DT'), ('movie', 'NN')]"
The_Thing_1,"[('wondering', 'NN')]"
The_Thing_1,"[('Trust', 'NNP')]"
The_Thing_1,"[('a', 'DT'), ('tough', 'JJ'), ('thing', 'NN')]"
The_Thing_1,"[('John', 'NNP'), ('Carpenter', 'NNP')]"
The_Thing_1,"[('The', 'DT'), ('Thing', 'NNP')]"
The_Thing_1,"[('a', 'DT'), ('seminal', 'JJ'), ('piece', 'NN')]"
The_Thing_1,"[('horror', 'NN')]"
The_Thing_1,"[('a', 'DT'), ('fine', 'NN')]"
The_Thing_1,"[('era', 'NN')]"
The_Thing_1,"[('a', 'DT'), ('shining', 'JJ'), ('example', 'NN')]"
The_Thing_1,"[('horror', 'NN')]"
The_Thing_1,"[('done', 'NN')]"
The_Thing_1,"[('any', 'DT'), ('era', 'NN')]"
The_Thing_1,"[('reminiscent', 'NN')]"
The_Thing_1,"[('Hellraiser', 'NNP')]"
The_Thing_1,"[('the', 'DT'), ('nail-bitingly', 'JJ'), ('intense', 'NN')]"
The_Thing_1,"[('claustrophobic', 'NN')]"
The_Thing_1,"[('filmmaking', 'NN')]"
The_Thing_1,"[('Alien', 'NNP')]"
The_Thing_1,"[('a', 'DT'), ('story', 'NN')]"
The_Thing_1,"[('George', 'NNP'), ('A.', 'NNP'), ('Romero', 'NNP')]"
The_Thing_1,"[('Dawn', 'NNP')]"
The_Thing_1,"[('the', 'DT'), ('Dead', 'NNP')]"
The_Thing_1,"[('the', 'DT'), ('idea', 'NN')]"
The_Thing_1,"[('true', 'JJ'), ('terror', 'NN')]"
The_Thing_1,"[('any', 'DT'), ('time', 'NN')]"
The_Thing_1,"[('any', 'DT'), ('place', 'NN')]"
The_Thing_1,"[('inside', 'JJ'), ('anyone', 'NN')]"
The_Thing_1,"[('Alfred', 'NNP'), ('Hitchcock', 'NNP')]"
The_Thing_1,"[('Psycho', 'NNP')]"
The_Thing_1,"[('The', 'DT'), ('Thing', 'NNP')]"
The_Thing_1,"[('every', 'DT'), ('level', 'NN')]"
The_Thing_1,"[('the', 'DT'), ('peak', 'NN')]"
The_Thing_1,"[('every', 'DT'), ('aspect', 'NN')]"
The_Thing_1,"[('Granted', 'NNP')]"
The_Thing_1,"[('this', 'DT'), ('amalgamation', 'NN')]"
The_Thing_1,"[('the', 'DT'), ('only', 'JJ'), ('formula', 'NN')]"
The_Thing_1,"[('winning', 'NN')]"
The_Thing_1,"[('horror', 'NN')]"
The_Thing_1,"[('The', 'DT'), ('basic', 'JJ'), ('plot', 'NN')]"
The_Thing_1,"[('this', 'DT'), ('movie', 'NN')]"
The_Thing_1,"[('Horror-moister', 'NNP'), ('John', 'NNP'), ('Carpenter', 'NNP'), ('Halloween', 'NNP')]"
The_Thing_1,"[('Escape', 'NNP')]"
The_Thing_1,"[('New', 'NNP'), ('York', 'NNP')]"
The_Thing_1,"[('Kurt', 'NNP'), ('Russell', 'NNP')]"
The_Thing_1,"[('outstanding', 'JJ'), ('performance', 'NN')]"
The_Thing_1,"[('this', 'DT'), ('chilling', 'NN')]"
The_Thing_1,"[('version', 'NN')]"
The_Thing_1,"[('the', 'DT'), ('classic', 'NN')]"
The_Thing_1,"[('The', 'DT'), ('Thing', 'NNP')]"
The_Thing_1,"[('the', 'DT'), ('winter', 'NN')]"
The_Thing_1,"[('a', 'DT'), ('twelve-man', 'JJ'), ('research', 'NN')]"
The_Thing_1,"[('team', 'NN')]"
The_Thing_1,"[('a', 'DT'), ('remote', 'NN')]"
The_Thing_1,"[('Antarctic', 'JJ'), ('research', 'NN')]"
The_Thing_1,"[('station', 'NN')]"
The_Thing_1,"[('an', 'DT'), ('alien', 'NN')]"
The_Thing_1,"[('the', 'DT'), ('snow', 'NN')]"
The_Thing_1,"[('unfrozen', 'NN')]"
The_Thing_1,"[('the', 'DT'), ('form-changing', 'JJ'), ('alien', 'NN')]"
The_Thing_1,"[('wreaks', 'NN')]"
The_Thing_1,"[('havoc', 'NN')]"
The_Thing_1,"[('favorite', 'NN')]"
The_Thing_1,"[('ever', 'NN')]"
The_Thing_1,"[('this', 'DT'), ('film', 'NN')]"
The_Thing_1,"[('death', 'NN')]"
The_Thing_1,"[('The', 'DT'), ('Thing', 'NNP')]"
The_Thing_1,"[('classic', 'NN')]"
The_Thing_1,"[('horror', 'NN')]"
The_Thing_1,"[('film', 'NN')]"
The_Thing_1,"[('master', 'NN')]"
The_Thing_1,"[('genius', 'NN')]"
The_Thing_1,"[('John', 'NNP'), ('Carpenter', 'NNP')]"
The_Thing_1,"[('Thing', 'NNP')]"
The_Thing_1,"[('Carpenter', 'NNP')]"
The_Thing_1,"[('Kurt', 'NNP'), ('Russell', 'NNP')]"
The_Thing_1,"[('Snake', 'NNP'), ('Plissken', 'NNP')]"
The_Thing_1,"[('R.J.', 'NNP'), ('MacReady', 'NNP')]"
The_Thing_1,"[('Jack', 'NNP'), ('Burton', 'NNP')]"
The_Thing_1,"[('Kurt', 'NNP')]"
The_Thing_1,"[('favorite', 'NN')]"
The_Thing_1,"[('the', 'DT'), ('music', 'NN')]"
The_Thing_1,"[('score', 'NN')]"
The_Thing_1,"[('Ennio', 'NNP'), ('Morricone', 'NNP')]"
The_Thing_1,"[('Grade', 'NN')]"
The_Thing_1,"[('Ass', 'NNP'), ('Seal', 'NNP'), ('Of', 'NNP'), ('Approval', 'NNP')]"
The_Thing_2,"[('John', 'NNP'), ('Carpenter', 'NNP')]"
The_Thing_2,"[('the', 'DT'), ('utmost', 'JJ'), ('respect', 'NN')]"
The_Thing_2,"[('the', 'DT'), ('only', 'JJ'), ('difference', 'NN')]"
The_Thing_2,"[('Carpenter', 'NNP')]"
The_Thing_2,"[('the', 'DT'), ('paranoiac', 'NN')]"
The_Thing_2,"[('core', 'NN')]"
The_Thing_2,"[('John', 'NNP'), ('W', 'NNP'), ('Campbell', 'NNP'), ('Jr', 'NNP')]"
The_Thing_2,"[('short', 'JJ'), ('story', 'NN')]"
The_Thing_2,"[('The', 'DT'), ('secret', 'NN')]"
The_Thing_2,"[('this', 'DT'), ('version', 'NN')]"
The_Thing_2,"[('success', 'NN')]"
The_Thing_2,"[('the', 'DT'), ('unbearable', 'JJ'), ('tension', 'NN')]"
The_Thing_2,"[('the', 'DT'), ('group', 'NN')]"
The_Thing_2,"[('the', 'DT'), ('strain', 'NN')]"
The_Thing_2,"[('a', 'DT'), ('fearful', 'JJ'), ('hold', 'NN')]"
The_Thing_2,"[('Carpenter', 'NNP')]"
The_Thing_2,"[('the', 'DT'), ('mystery', 'NN')]"
The_Thing_2,"[('the', 'DT'), ('film', 'NN')]"
The_Thing_2,"[('heading', 'NN')]"
The_Thing_2,"[('the', 'DT'), ('right', 'NN')]"
The_Thing_2,"[('direction', 'NN')]"
The_Thing_2,"[('an', 'DT'), ('horrific', 'JJ'), ('scene', 'NN')]"
The_Thing_2,"[('the', 'DT'), ('shadow', 'NN')]"
The_Thing_2,"[('sequence', 'NN')]"
The_Thing_2,"[('the', 'DT'), ('film', 'NN')]"
The_Thing_2,"[('the', 'DT'), ('perfect', 'JJ'), ('fusion', 'NN')]"
The_Thing_2,"[('horror', 'NN')]"
The_Thing_2,"[('sci-fi', 'NN')]"
The_Thing_2,"[('The', 'DT'), ('dialogue', 'NN')]"
The_Thing_2,"[('potency', 'NN')]"
The_Thing_2,"[('viability', 'NN')]"
The_Thing_2,"[('a', 'DT'), ('group', 'NN')]"
The_Thing_2,"[('such', 'JJ'), ('duress', 'NN')]"
The_Thing_2,"[('Ennio', 'NNP'), ('Morricone', 'NNP')]"
The_Thing_2,"[('score', 'NN')]"
The_Thing_2,"[('a', 'DT'), ('wonderful', 'JJ'), ('eerie', 'NN')]"
The_Thing_2,"[('pulse', 'NN')]"
The_Thing_2,"[('the', 'DT'), ('sense', 'NN')]"
The_Thing_2,"[('doom', 'NN')]"
The_Thing_2,"[('paranoia', 'NN')]"
The_Thing_2,"[('the', 'DT'), ('film', 'NN')]"
The_Thing_2,"[('The', 'DT'), ('cast', 'NN')]"
The_Thing_2,"[('a', 'DT'), ('solid', 'JJ'), ('assembly', 'NN')]"
The_Thing_2,"[('line', 'NN')]"
The_Thing_2,"[('Carpenter', 'NNP')]"
The_Thing_2,"[('favourite', 'NN')]"
The_Thing_2,"[('Kurt', 'NNP'), ('Russell', 'NNP')]"
The_Thing_2,"[('the', 'DT'), ('right', 'NN')]"
The_Thing_2,"[('amount', 'NN')]"
The_Thing_2,"[('impact', 'NN')]"
The_Thing_2,"[('the', 'DT'), ('ending', 'NN')]"
The_Thing_2,"[('glory', 'NN')]"
The_Thing_2,"[('an', 'DT'), ('ending', 'NN')]"
The_Thing_2,"[('the', 'DT'), ('norm', 'NN')]"
The_Thing_3,"[('alien', 'NN')]"
The_Thing_3,"[('terror', 'NN')]"
The_Thing_3,"[('horror', 'NN')]"
The_Thing_3,"[('film', 'NN')]"
The_Thing_3,"[('John', 'NNP'), ('Carpenter', 'NNP')]"
The_Thing_3,"[('Cinema', 'NNP')]"
The_Thing_3,"[('great', 'JJ'), ('creature', 'NN')]"
The_Thing_3,"[('The', 'DT'), ('Thing', 'NNP')]"
The_Thing_3,"[('Every', 'DT'), ('incarnation', 'NN')]"
The_Thing_3,"[('the', 'DT'), ('creature', 'NN')]"
The_Thing_3,"[('the', 'DT'), ('industry', 'NN')]"
The_Thing_3,"[('offer', 'NN')]"
The_Thing_3,"[('CGI', 'NNP')]"
The_Thing_3,"[('The', 'DT'), ('paranoia', 'NN')]"
The_Thing_3,"[('distrust', 'NN')]"
The_Thing_3,"[('the', 'DT'), ('outpost', 'NN')]"
The_Thing_3,"[('Carpenter', 'NNP')]"
The_Thing_3,"[('a', 'DT'), ('tangible', 'JJ'), ('atmosphere', 'NN')]"
The_Thing_3,"[('desperation', 'NN')]"
The_Thing_3,"[('suspicion', 'NN')]"
The_Thing_3,"[('the', 'DT'), ('unassuming', 'NN')]"
The_Thing_3,"[('beginning', 'NN')]"
The_Thing_3,"[('the', 'DT'), ('classic', 'NN')]"
The_Thing_3,"[('ambiguous', 'JJ'), ('end', 'NN')]"
The_Thing_3,"[('very', 'NN')]"
The_Thing_3,"[('any', 'DT'), ('movie', 'NN')]"
The_Thing_3,"[('Composer', 'NNP')]"
The_Thing_3,"[('extraordinaire', 'NN')]"
The_Thing_3,"[('Ennio', 'NNP'), ('Morricone', 'NNP')]"
The_Thing_3,"[('a', 'DT'), ('minimalist', 'NN')]"
The_Thing_3,"[('synth-driven', 'JJ'), ('score', 'NN')]"
The_Thing_3,"[('the', 'DT'), ('building', 'NN')]"
The_Thing_3,"[('unease', 'NN')]"
The_Thing_3,"[('the', 'DT'), ('excellent', 'NN')]"
The_Thing_3,"[('ensemble', 'JJ'), ('cast', 'NN')]"
The_Thing_3,"[('bring', 'NN')]"
The_Thing_3,"[('every', 'DT'), ('feeling', 'NN')]"
The_Thing_3,"[('terror', 'NN')]"
The_Thing_3,"[('wariness', 'NN')]"
The_Thing_3,"[('life', 'NN')]"
The_Thing_3,"[('Kurt', 'NNP'), ('Russell', 'NNP')]"
The_Thing_3,"[('Carpenter', 'NNP')]"
The_Thing_3,"[('lead', 'NN')]"
The_Thing_3,"[('MacReady', 'NNP')]"
The_Thing_3,"[('Keith', 'NNP'), ('David', 'NNP')]"
The_Thing_3,"[('Childs', 'NNP')]"
The_Thing_3,"[('time', 'NN')]"
The_Thing_3,"[('screen', 'NN')]"
The_Thing_3,"[('Wilford', 'NNP'), ('Brimley', 'NNP')]"
The_Thing_3,"[('no', 'DT'), ('doubt', 'NN')]"
The_Thing_3,"[('the', 'DT'), ('picture', 'NN')]"
The_Thing_3,"[('John', 'NNP'), ('Carpenter', 'NNP')]"
The_Thing_3,"[('a', 'DT'), ('master', 'NN')]"
The_Thing_3,"[('storyteller', 'NN')]"
The_Thing_3,"[('a', 'DT'), ('fantastic', 'JJ'), ('director', 'NN')]"
The_Thing_3,"[('greatest', 'JJ'), ('skill', 'NN')]"
The_Thing_3,"[('slowly', 'NN')]"
